week_day,holiday,day_of_month,result
5,0,13,1
6,1,14,0
0,1,15,0
1,1,16,1
2,0,17,1
3,0,18,1
4,0,19,1
5,0,20,0
6,1,21,0
0,1,22,0
1,0,23,1
2,0,24,1
3,0,25,1
4,0,26,1
5,0,27,0
6,1,28,1
0,1,29,0
1,0,30,1
2,0,1,1
3,0,2,0
4,0,3,1
5,0,4,1
6,1,5,1
0,1,6,0
1,0,7,1
2,0,8,1
3,0,9,1
4,0,10,0
5,0,11,0
6,1,12,1
0,1,13,0
1,0,14,1
2,0,15,1
3,0,16,1
4,0,17,1
5,0,18,1
6,1,19,1
0,1,20,1
1,0,21,1
2,0,22,1
3,0,23,1
4,0,24,0
5,0,25,1
6,1,26,1
0,1,27,0
1,0,28,1
2,0,29,1
3,0,30,1
4,0,31,1
5,0,1,1
6,1,2,1
0,1,3,0
1,0,4,1
2,0,5,1
3,0,6,0
4,0,7,1
5,0,8,1
6,1,9,1
0,1,10,1
1,0,11,1
2,0,12,1
3,0,13,0
4,0,14,1
5,0,15,1
6,1,16,1
0,1,17,0
1,1,18,0
2,1,19,0
3,1,20,0
4,1,21,0
5,1,22,0
6,1,23,1
0,1,24,0
1,0,25,1
2,0,26,1
3,0,27,1
4,0,28,1
5,0,29,0
6,1,30,1
0,1,1,0
1,0,2,1
2,0,3,1
3,0,4,0
4,0,5,1
5,0,6,1
6,1,7,1
0,1,8,0
1,0,9,0
2,0,10,1
3,0,11,1
4,0,12,1
5,0,13,0
6,1,14,1
0,1,15,0
1,0,16,1
2,1,17,0
3,1,18,0
4,1,19,0
5,1,20,1
6,1,21,1
0,1,22,0
1,1,23,0
2,1,24,0
3,1,25,0
4,1,26,0
5,1,27,0
6,1,28,1
0,1,29,0
1,1,30,1
2,1,31,0
3,1,1,0
4,1,2,0
5,1,3,1
6,1,4,0
0,1,5,0
1,0,6,1
2,0,7,1
3,0,8,0
4,0,9,1
5,0,10,1
6,1,11,0
0,1,12,0
1,0,13,1
2,0,14,1
3,0,15,0
4,0,16,1
5,0,17,1
6,1,18,1
0,1,19,0
1,0,20,1
